"";"cluster";"present_in_n_genomes";"cluster_type_manual";"Afumigatus";"Aoryzae";"Aniger"
"2887";3858;3;"core";"AFUA_6G02000";"AO090009000507";"1133865;1163802;1183515;1173124;211376;1119620;1119619;1119621;1157572;1157573;1151025;1085268;1151015;1085852;1085800;1079495;1079040;1076133;1103995;1103994;1103993;1209444"
"2888";3820;3;"core";"AFUA_5G04200";"AO090102000624";"1130923;1161635;1201667;1149103;1115406;1201665;1099801;1099800;1115405;1181220;1170078;1156122;1064323;1080129;1080410;1059242;1201661;1141641"
"2889";3709;1;"singleton";"";"";"1063557;1152179;1135773;1067863;36926;1090256;1089568"
"2890";3855;1;"singleton";"";"";"1151441;1086831;1157893;1134547;1164308;1069497;1173822;1184054;1211250;1086790;1104857;1120489;1104856;1120488;1076334"
"2891";3724;3;"core";"AFUA_1G14280";"AO090011000382";"1102484;1118091;1082985;1206835;1150297;1163056;1182749;1082415;1082382;1102483;1102482;1069161;1118092;1118093;1071903;1132776;1157072;1206841;1172022;1075615;196055;1009194;1142963"
"2892";3864;1;"singleton";"";"";"1165781;1136369;1175718;1152560;1088524;1185591;1089318;1107412;1107414;1158798;1060149;1123049;1123050;1216102;1059794;1123048;1216104;1089353;1107413;1065178;120694;1216099"
"2893";3860;3;"core";"AFUA_4G11700";"AO090003001049";"1126636;1126635;1177909;1093889;1110991;1110992;1110990;1126634;1167423;1138507;1060305;1154118;1187317;1159988;1060900;1032775;1093969;1068288;1093954;57011;1146844"
"2894";3868;1;"singleton";"";"";"1091179;1091110;1166409;1076316;1108865;1108866;1027292;1159289;1074372;1186253;1153243;1124508;1124507;1137228;1027291;134028;1176597"
"2895";3869;3;"core";"AFUA_5G06270";"AO090009000630";"1090939;1090677;1090537;1025433;1070888;1077761;1108156;1108157;1185917;1159047;1108155;1166094;214035;1176137;1136777;1123794;1123795;1123796;1074083;1152894"
"2896";3870;3;"core";"AFUA_2G05040";"AO090003000307";"1095783;1154617;208820;1060960;1064128;1224351;1178709;1095351;1224347;1066818;1187909;1112166;1127813;1167984;1139288;1224343;1112167;1127815;1160355;1127814;1112168;1147339;1147338;1096313"
"2897";3867;3;"core";"AFUA_7G05670";"AO090005000432";"1164474;1134793;1184230;209842;1174082;1158000;1151612;1087892;1087921;1087641;1120763;1105123;1105125;1120761;1105124;1120762;1071703;1069137;1070441;1016525;1144127;1144128;1211827"
"2898";3874;3;"core";"AFUA_6G14250";"AO090103000412";"1114586;1114588;1161216;1114587;1169440;1073040;1070562;1141159;1077454;1130239;1130238;1130237;47266;1155726;1098611;1098960;1097857;1189453;1229193;1180643;1148674"
"2899";1164;1;"singleton";"";"";"1155136;1160715;1113140;1097000;1074359;1128786;1226232;1097230;1128785;1226231;1113139;1069401;1097584;131352;1069965;1113135;1072118;1188424;1113136;1113137;1128782;1160714;1128783;1128781;1038323;1097352;1155135;1179427;1128784;1113138;1097475;1097341;1076603;140623;1076042;1139988"
"2900";3708;2;"accessory";"AFUA_6G06970";"AO090003000079";""
"2901";3885;1;"singleton";"";"";"1133007;1075026;1182932;189620;1118473;1118472;1163235;1118474;1207422;1157191;1084919;1084854;1102862;1085081;1102861;1102860;1150451;1172261;1070094;1143113;1071962"
"2902";3891;3;"core";"AFUA_7G02200;AFUA_7G02210";"AO090038000596;AO090038000597";"1157359;1208221;1208220;1084963;1118958;1103343;1070876;1084502;1208222;1072981;1103344;1118959;1183145;1208218;1172613;1163442;1133360;1208216;1133361;43614;1208223;1163443;1183146;1172614;1150729"
"2903";3379;2;"accessory";"AFUA_3G01350";"";"1116735;1204038;1066842;1082104;1101127;44868;1082069;1116736;1060580;1204037;1101128;1170924;1181903;1149658;1204039;1156573;1082204;1116734;1064800;1101126;1204032;1131724;1162268"
"2904";3888;3;"core";"AFUA_2G09190";"AO090011000776";"1172826;54007;1208919;1133571;1163617;1183322"
"2905";3879;3;"core";"AFUA_3G13100";"AO090012000819";"1122585;1022692;1122586;1122584;1073300;1136085;52354;1152377;1106948;1165565;1158652;1090234;1089953;1185363;1175424;1076927;1065670;1089176;1106950;1106949"
"2906";2052;2;"accessory";"AFUA_5G08450";"AO090701000765";""
"2907";3890;1;"singleton";"";"";"1172174;1118387;1069356;1157163;1150396;1207284;1082447;1102775;1163191;1207285;1132925;1118389;1118388;1102776;1102777;1207282;1082370;1082908;1060557;1066020;170262;142140;1143092;1182887"
"2908";3900;1;"singleton";"";"";"1158083;1134986;1151711;1075812;1212388;1120980;1105340;1120979;1120978;1087807;1174281;1105341;1105342;1087280;1087341;1075292;1164638;1073318;180928;1144289;1144288;1184397"
"2909";3899;3;"core";"AFUA_1G07590";"AO090012001011";"1213366;1164967;1184746;1174672;1158245;1213369;1121381;1151885;1087482;1073418;180578;1105744;1135358"
"2910";3901;2;"accessory";"";"AO090009000057";"1131740;1162279;1061381;1204074;1101151;1101152;1081812;1081942;1064771;1116759;1116760;1204077;1156582;1149670;1181918;1170942;1204080;1081889;1059465;1142255;1204071"
"2911";3897;3;"core";"AFUA_8G00920";"AO090010000065";"1125588;1159650;1109951;1064681;1153707;1093241;1137863;1166904;1220317;1060056;1220315;1186770;1125587;1125589;1109950;1109952;1092878;1093564;1177251;1064866;121911;1220319"
"2912";3805;1;"singleton";"";"";"1098435;1078730;1169467;1130280;1114629;1141204;1229294;37780;1155755"
"2913";3905;3;"core";"AFUA_2G01650;AFUA_2G01630";"AO090701000782;AO090701000784";"1110148;1125784;1153777;1159716;213533;1064881;1166987;1137956;1030470;1125786;1125785;1110149;1110150;1146458;1186860;1186861;1093122;1166988;1177352;1137957;1177351;1093251;1030467;1072392;1069280;1146459;1146460;1092677"
"2914";3892;2;"accessory";"AFUA_2G10470";"";"1214819;1158505;1106536;1122173;1175172;1152216;1088217;1066051;174930;1214825;1135841;1063784;1088338;1106538;1106537;1165352;1214823;1122174;1122175;1059490;1088094;1144971;1185144"
"2915";3882;3;"core";"AFUA_6G03850";"AO090701000163";"1210229;1086550;1120049;1120048;1086237;1069826;1104421;1157718;1104420;1072357;1173424;1151220;1183747;1086484;1210231;1070121;210080;1164025;1210225;1134171;1104419;1120047"
"2916";3268;3;"core";"AFUA_2G07420";"AO090011000951";"1103436;1103437;1119050;1119051;202202;1163479;1150756;1183179;1011332;1157385;1172647;1072719;1208328;1072030;1085520;1085134;1208322;1143301;1143302;1011353;1133397"
"2917";3908;3;"core";"AFUA_1G11930";"AO090001000366";"1041388;208158;1169026;1180089;1140623;1129582;1113936;1148289;1098349;1067783;1189023"
"2918";3911;1;"singleton";"";"";"1081108;1131174;1080923;1170340;1077170;1077655;1149293;1075613;139549;1080672"
"2919";3912;3;"core";"AFUA_6G03630";"AO090009000582";"1134195;1164045;1070288;1086377;1210312;1173451;1183771;1086407;1069661;1120095;1120094;1104464;1072844;1086636;1104465;1151239;1157735;1104463;210108;1120096;1210314"
"2920";3785;3;"core";"AFUA_1G13660";"AO090012000510";"1228227;1140812"
"2921";3913;3;"core";"AFUA_4G07690";"AO090023000806";"1066568;1094768;1146709;1177707;57068;1146710;1167268;1126331;1138316;1126333;1126332;1031980;1159895;1110689;1110688;1110687;1187150;1094315;1060466;1060468;1094705;1154007"
"2922";3910;1;"singleton";"";"";"1152375;1215446;1090259;1215447;1185360;1175421;173646;1090196;1122579;1122580;1089661;1106944;1106943;1059959;1073552;1215449;1165562;1136082;1067527"
"2923";3920;1;"singleton";"";"";"1075997;1155126;1139972;1160708;1128770;1113123;1188412;1097063;1179410;1168461;187460;1097446;1077570;1113122;1128769;1226175"
"2924";3922;2;"accessory";"";"AO090010000664";"1167064;1186938;1220994;1138080;1093763;1159767;1093621;1153866;1220992;1125929;1125928;1110290;1066820;1068877;1220991;1060278;1092724;1110288;1125927;1110289;1146517;136903;1177475"
"2925";3787;3;"core";"AFUA_1G15950";"AO090005001093";"1083448;1102325;1102324;1102323;1182675;1008922;1171909;1157015;1132674;1082407;1117934;1162985;1117933;1117932;1150213;1069410;1076082;51782;1082680;1072168;1142913"
"2926";3569;3;"core";"AFUA_7G04160";"AO090005000101";"1203619;1082035;1181779;1004538;1162156;1131565;1116517;1060710;1100913;1149560;1156495;1170754;1082234;1004537;1116515;1116516;1100912;1100911;1059706;213703;1061265;1081949"
"2927";3925;1;"singleton";"";"";"1217842;1166222;1159151;1217843;1153052;1091222;1091923;1108471;1124110;1124109;41355;1069208;1186053;1176324;1072019;1091690;1217844;1069025;1124111;1108472;1108473;1136959"
"2928";3921;3;"core";"AFUA_2G14160";"AO090023000164";"1078180;1121582;1088518;1152003;1105945;1121583;1121584;1071305;1165058;1089852;1077720;1174815;1089233;1184835;1105947;1105946;1019822;175181;1135500;1213761;1158319"
"2929";3924;3;"core";"AFUA_3G06470";"AO090020000103";"1128368;1168226;1037055;1154920;1112724;1112722;1112723;1095838;1072989;1037054;1160548;1128370;1128369;1096467;1096625;1179105;178187;1074920;1070373;1139677;1147519;1188170"
"2930";3923;1;"singleton";"";"";"1093087;1060382;1138030;1092720;1068437;1066385;1093186;44546;1177427;1153826"
"2931";3928;3;"core";"AFUA_2G00200";"AO090113000153";"1209727;1163882;1183597;1173258;1157638;1209733;1151120;1119797;1065133;1209730;57457;1104170;1086144;1134003"
"2932";3931;1;"singleton";"";"";"1168108;1224882;1224881;1224883;1160444;1154742;1188043;1178890;1224884;1059621;1095330;1128079;1112431;1224885;1096488;1066672;140090;1128080;1112432;1139464"
"2933";3933;1;"singleton";"";"";"1061647;1137669;1153541;1177049;1064768;51385;1092719;1067938;1092748;1092955"
"2934";3932;1;"singleton";"";"";"1164605;1134945;1174241;1184366;1087729;1105305;1151695;1075343;1158071;1212253;1120943;131149;1212250"
"2935";3907;3;"core";"AFUA_5G06470";"AO090009000598";"1090410;1090510;1166075;204445;1090543;1176117;1123755;1123756;1123757;1145625;1068174;1136757;1185898;1068926;1108118;1108117;1108116;1152882;1025314;1159034;1066970"
"2936";3939;3;"core";"AFUA_5G02550";"AO090102000370";"1165623;1088921;1089924;1185425;1175506;1089322;1072533;1078348;1215651;1107091;1122726;1122727;1122728;1136165;1107089;1107090;1152433;1215654;1158696;131427;1077407"
"2937";3063;1;"singleton";"";"";"1153871;1093527;1064493;1186946;1177483;1093698;1125943;1092941;1221032;1125942;191206;1061850;1059349;1110303;1110304;1061916;44600;1093748;1138088"
"2938";3895;1;"singleton";"";"";"1088226;1135393;1151912;1071344;36588;1174706"
"2939";3883;3;"core";"AFUA_5G02890";"AO090102000485";"1066492;1115207;1130781;1099601;1149033;1099600;1201258;1079695;1080497;1161516;1066263;1156061;1115206;1181094;1169932;43232"
"2940";3318;3;"core";"AFUA_1G06540";"AO090023000283;AO090023000284";"1168664;1140207;1226870;1188630;1179653;187778;1129127;1226872;1072224;1113480;1097127;1155259;1160825;1226873"
"2941";3710;3;"core";"AFUA_2G15020";"AO090012000422";"1173534;1210519;1134270;40542;1086946;1066761;1210522;1151281;1087124;1067731;1067958;1210525;1087163"
"2942";3940;1;"singleton";"";"";"1172794;1208805;42414;1085628;1133538;1150848;1075083"
"2943";3944;2;"accessory";"";"AO090012000899;AO090005000187";"1200821;1080278;50187;1080322;1080245;1200822;1071143;1148927;1169744;1077024;1078755;1169743;215066;1130603"
"2944";3951;1;"singleton";"";"";"1133609;1208982;1172864;1183346;42341;1163641"
"2945";3943;2;"accessory";"";"AO090001000252";"1218657;1218656;1153258;1091705;1072647;1176623;210569;1137255"
"2946";3930;3;"core";"AFUA_6G10250";"AO090023000263";"1178418;1062952;1063553;47817;1096214;1095747;1096364;1154411;1223570;1064744;1139004;1223571"
"2947";3953;1;"singleton";"";"";"1154776;39278;1062601;1139499;1178925;1065963;1096584;1096093"
"2948";3936;3;"core";"AFUA_3G02290;AFUA_5G12940";"AO090120000416";"1156856;1182378;1205702;1117489;1162703;1117490;1117491;1062000;1101880;1083973;1150029;1101878;1101879;1063974;1132335;1068291;1171561;1083358;1084210;55386;1142656;1142657"
"2949";3956;1;"singleton";"";"";"1092864;1062589;1220638;1137951;1166984;1110135;1110134;1186854;1177343;1153771;1159712;1062868;1125771;1125770;1093135;1092692;1125772;1060950;1110136;120859;1220639"
"2950";3755;1;"singleton";"";"";"1152786;1175992;1090998;1067705;135693;193061;1136634"
"2951";3958;2;"accessory";"AFUA_1G16930";"";"1137827;1067603;1093081;1153674;1065651;1092654;1092694;1060303;215049;1177211;1133592;1166876"
"2952";3954;1;"singleton";"";"";"1179356;1155085;1139918"
"2953";3962;2;"accessory";"";"AO090120000055;AO090005000240";"1086337;1173845;1075009;1104904;1104905;1104903;1120535;1120537;53541;1120536;1086740;1086542;1134571;1184072;1071377;1157912;1151465;1211310;1164326;1077538"
"2954";3543;3;"core";"AFUA_8G06870";"AO090103000481";"1169494;1229365;1141241;1114668;1097982;1189508;1098460;1114667;1070075;1161252;1180725;1130319;1078233;207572;1130317;1130318;1071356;1114666;1229363;1155778;1098821;1043819;1148725"
"2955";3926;2;"accessory";"";"AO090020000212";"1133009;1084977;1163237;1084880;43953;1084461;1172263;1074765;1102865;1102866;1102867;1069512;1157193;1072325;1150453;1182934;1118477;1118478;1118479;1207434;1143114"
"2956";1470;1;"singleton";"";"";"1092985;1063382;1153560;1177073;1093589;1093370;1061559;1064678;139950;1061878;1093039;1177074;1092937;1058904;1093488;1153561;194269;1059518;1137694"
"2957";3476;3;"core";"AFUA_1G06680";"AO090001000466";"54223;1188644;1168678;1179668;1140222;1129148;1129147;1129149;1097353;1096971;1097138;1113502;1113501;1113500;1071952;1071950;1076294;1039382"
"2958";3966;3;"core";"AFUA_2G09630";"AO090011000692";"1091928;1176733;1137361;1092174;1153324;1070750;1166528;210419;1159366;1028011;1092091;1124746;1124744;1124743;1124742;1076321;1186378;1109105;1109104;1109102;1109101;1109103;1186379;1166529;1146036;1124747;1124745;1078545"
"2959";3872;3;"core";"AFUA_8G02550;AFUA_1G12240";"AO090010000743;AO090001000305";"204047;1153887;1093312;1063982;1146524;1093222;1063769;1110330;1110331;1110332;1177501;1125969;1167082;1146523;1030933;1125970;1125971;1066180;1093496;1186957;1159781;1155440;198599;1160995;1140659;1098675;1169057;1227880;1097734;1180128;1189057;1097790;1129614;1129613;1129612;1138105;1071504;1077820;1073819;1153912;1030936;1113965;1113963;1113964;1030938;1146525;1148321;1159782"
"2960";3968;2;"accessory";"";"AO090010000327";"1152570;1089481;1175734;1136382;1064196;1088239;37520;1089509;1068202;1066746"
"2961";3803;3;"core";"AFUA_1G17020";"AO090005000972";"1132585;1162912;1171822;172740;1206331;1182600;1084190;1082658;1206327;1117783;1117782;1206329;1150153;1156964;1206333;1075341;1077031;1102173;1102174"
"2962";3792;2;"accessory";"";"AO090005001396";"1152535;1216016;173120;1175672;1088379;1185558;1122994;1065957;1216018;1136326;1107358;1165750;1216017"
"2963";3977;3;"core";"AFUA_4G00950";"AO090003001391";"1226012;187212;1113032;1113031;1139908;1113030;1168408;1160670;1097676;1188359;1179346;1076032;1155079;1074009;1097115;1097101;1128680;1128679;1128678;1147682;1077205"
"2964";3979;1;"singleton";"";"";"1091908;1091658;1153132;1176418;1137050;1070754;1070778;41268;1072607;1091969"
"2965";3978;3;"core";"AFUA_4G10470";"AO090003001164;AO090010000721";"1138628;1167528;1066447;1160062;1111229;1154196;1094537;1126874;1178033;1094070;1059464;1094806;1187428;57343;1111228;1111227;1126872;1126873;1063238;1222683"
"2966";3984;1;"singleton";"";"";"1206141;1162855;1171751;1182539;171431;1132520"
"2967";3981;1;"singleton";"";"";"1166448;1218724;1108933;41051;1108934;1091073;1186294;1091786;1073598;1108932;1176640;1218722;1153267;1159312;1124576;1091519;1124575;1074832;1077402;1124574;1027566;1137271"
"2968";3964;3;"core";"AFUA_2G14600";"AO090005000075";"1104615;1104614;1074570;1087134;1134320;1086742;1164152;1183881;1120247;1120246;1173585;1073227;1151303;1157793;1210655;1069436;1086438;1120245;1104613;1210657;131283"
"2969";3949;3;"core";"AFUA_2G00690";"AO090010000746;AO090003000321";"213597;1064810;1092645;1177490;1093300;1092866;1030894;1167075;1110315;1067967;1066018;1153878;1186950;1030904;1125953;1125954;1159775;1125955;1030906;1110316;1110314;1030913;1030899;1030896;1030902;1030910;1138095"
"2970";3989;1;"singleton";"";"";"1184653;1018988;1174570;1135266;1144532;1144531;1164878"
"2971";2325;3;"core";"AFUA_5G11520";"AO090026000683";"1128865;1188470;1128866;1068976;1140035;1075331;1128867;1038498;1097384;1097077;1179476;1160740;1147779;1155164;1113221;1113220;211948;1113219;1168513;1097016;1079678"
"2972";1143;3;"core";"AFUA_3G02240";"AO090038000057";"36354;1063233;1084237;1149859;1171215;1182077;1156701;1063480;1065324;1061010;1101446;1117057;1101444;1101445;1171214;1149858;1117058;1117059;170119;1204758;1083038;1082763;1082732;1132000"
"2973";3988;1;"singleton";"";"";"1094189;1111350;1178111;1067108;1126999;1187494;1222851;1160096;1126998;1093894;1222859;45270;1065207;1126997;1093827;1063815;1222855;1111349;1138701;1222862;1167588;1111351;1154238"
"2974";3825;3;"core";"AFUA_5G09080";"AO090020000486";"1134915;1087934;1087685;1174210;180472;1151675;1158057;1105276;1105275;1069116;1184341;1212172;1120914;1120913;1071422;1017116;1087971;1120915;1105277;1060949"
"2975";3950;1;"singleton";"";"";"185946;1133747;1150960;1173000"
"2976";3998;1;"singleton";"";"";"40112;1087644;1151618;1074079;1174098;1134809"
"2977";3835;3;"core";"AFUA_4G04000";"AO090011000317";"1081437;1080990;1080750;1066853;1149179;1065977;1202034;49232;1131025;1059357;1170184;1115619;1115620;1115621;1181321;1100014;1156191;1161731;1100015;1100016"
"2978";3997;1;"singleton";"";"";"1062084;1086523;1114780;1104647;1099178;1079688;1210721;1200416;1120279;1200415;1134355;1180857;1173620;1164170;1210720;1130430;1183901;1161299;1169557;1120278;1114779;1155901;1104646;1065318;1157808;1099177;1151328;1148783;1066562;1200417;1087168;1080469;1210722;1210719;1200414;1086591;1099176;1065849;1080276;1068388;1114778;1104645;1120277;1062765"
"2979";3586;2;"accessory";"AFUA_6G08710";"AO090005000279";""
"2980";3993;2;"accessory";"";"AO090005000607;AO090005000608";"1115097;1148987;1156020;1079849;1099491;43311;1201114;1062947;1169852;1099490;1099489;1066597;1181026;1161453;1201113;1130705;1115096;1080179;1115095;1080581;1067561"
"2981";3996;1;"singleton";"";"";"1139054;1095689;1068210;1154447;1096952;1065093;1178473"
"2982";3915;1;"singleton";"";"";"1095739;1096665;1154864;1070836;1225130;1225136;1078454;1225127;1071079;1095507;1225133;1139601;133851;1179026"
"2983";3617;2;"accessory";"AFUA_2G00140";"AO090012000460";""
"2984";4000;1;"singleton";"";"";"1084495;1207490;1150478;1172295;1085035;1071133;1075948;1133040;1084282;132070;1070063"
"2985";3948;3;"core";"AFUA_6G10510";"AO090023000222";"1096024;1095441;1111668;1111670;1111669;1167761;1096541;1154391;1187677;1060295;1160191;1223474;1127317;1127316;1127315;1059717;178271;1178392;1138979;1066543"
"2986";4005;3;"core";"AFUA_2G08460";"AO090011000855";"1208678;1163552;1172732;1119219;1208680;1085865;1157437;1103602;1078319;1150811;1074094;186794;1085368;1103603;1119220;1183257;1133478"
"2987";4003;3;"core";"AFUA_1G14380";"AO090010000618;AO090011000370;AO090010000429";"1186739;1093694;1109849;1125488;1061640;1153675;1159620;1220201;1137828;1166877;1093037;1220197;1067793;1109852;1125489;1125486;1125487;1109851;1109850;45652;1029754;1092850;1093654;49639;1172849;1150881;1078342;1077192;1177212"
"2988";4001;3;"core";"AFUA_1G01600";"AO090102000015";"1222993;1167626;1222997;1154266;1160112;45910;1187532;1178177;1127051;1094947;1094868;1094865;1127049;1127050;1222998;1077292;1078760;1069823;1111400;1111401;1111402;1147043;1138769"
"2989";4011;1;"singleton";"";"";"1173354;1059392;1086987;1086381;1086198;1134102;1062585;1064495;120965;1151186"
"2990";4012;2;"accessory";"";"AO090020000682";"1097236;1097318;1077544;1225855;1179274;1155036;1071292;187232;1139844"
"2991";4014;3;"core";"AFUA_1G11950";"AO090001000363";"1180091;1169028;1189025;1140625;1041392;208152;1041401;1041397;1148291;1148292"
"2992";3960;3;"core";"AFUA_5G00820;AFUA_6G14570";"AO090009000539";"1209139;1150948;1172970;1085407;1133716;1072640;42242"
"2993";3982;3;"core";"AFUA_6G04110";"AO090701000137";"1104374;1104372;1104373;1163999;1173397;1157702;1120003;1120001;1120002;1183721;1014238;1157701;1151203;1086224;210065;1086188;1086853;1134144;1151204;1069416;1078576;1077557;1143737"
"2994";4016;1;"singleton";"";"";"1105740;1213357;1087416;1158244;1151884;1076841;1213355;1135354;39581;1164963;1121377"
"2995";3893;3;"core";"AFUA_3G06180";"AO090020000091";"1168252;1225430;1139706;1188197;1112762;1179136;1128408;1096863;1070456;1225435;1128407;1160560;1112761;1154934;48146;1225431;1095394;1077637;1096510;1128406;1225438;1069897;1112760"
"2996";4013;3;"core";"AFUA_2G07620";"AO090011000931";"1133414;1163496;1150767;1157396;1085573;1119084;1103470;1077097;1075024;1078812;1085743;1172666;1085787;1183198;1119082;1119083;1103469;1103468;49760;1011435;1143319;1208406"
"2997";4017;3;"core";"AFUA_6G02680";"AO090120000153";"1183474;1163763;1209323;1133821;56667;1103929;1085607;1085229;1085161;1209325;1119562;1103931;1103930;1119561;1119560;1070453;1078523;1074076;1143518;1173073"
"2998";3623;3;"core";"AFUA_3G13490";"AO090012000784";"1185392;1215522;1063527;1089865;1063522;1088534;1089719;1152398;1107005;1165591;1107006;1107007;1158672;1122644;1122643;1136115;1122642;207169;1064847;1175456"
"2999";4022;3;"core";"AFUA_2G16010";"AO090012000200";"1078174;210319;1086513;1151419;1086608;1086378;1184009;1173773;1143965;1120428;1134499;1120426;1015569;1120427;1164266;1104795;1104796;1104794;1069409;1070717;1157872;1015570;1143966"
"3000";4023;1;"singleton";"";"";"1062860;1178654;39012;1060936;1095274;1095909;1139233;1154575"
"3001";4026;3;"core";"AFUA_1G15700";"AO090005001136";"1207239;1172153;1070022;1082762;1182866;1118334;1118333;1150380;1102725;1072373;1102724;1163171;1132904;1157147;1076508;46275;1118335;1207241;1082981;1102726;1082615"
"3002";4024;2;"accessory";"";"AO090011000181";"1093880;1126639;1126638;1177910;1187318;1110993;1110994;1094403;1063473;1061870;1222310;1138508;1126637;1110995;1126640;1110996;1094803;213003;1094002;1154119;1070915;1065659;1146845;1222315"
"3003";3509;3;"core";"AFUA_2G10620";"AO090011000574";"1185131;1106515;1106517;1106516;52248;1060418;1064778;1165339;1144947;1089463;1158498;1152209;1135827;1089776;1021410;1175159;1122153;1122152;1122154;1088547;1144948;1064134"
"3004";4029;1;"singleton";"";"";"1139836;1179266;1097704;1155031;1097123;1097542;139484;1069481;1071084;1071436"
"3005";4027;1;"singleton";"";"";"1067651;1127300;1127301;1223442;1096391;1095810;1111653;1178381;1127299;1160187;1111652;1167754;1154385;1138969;1095699;1223440;1065368;130909;1067653;1111654;1187670"
"3006";4032;1;"singleton";"";"";"1074664;1210849;1151356;1134397;1210848;1077579;1077574;1086808;1086663;40668;1173669;1086931"
"3007";3903;2;"accessory";"AFUA_5G09980";"AO090005000482";""
"3008";4033;1;"singleton";"";"";"1090689;1108096;1152875;1063669;1123736;1072014;1090480;1185888;1217226;1108097;1176107;1217227;1166066;1136747;1123735"
"3009";4039;1;"singleton";"";"";"1081783;1066881;1170893;1131696;1149644;44840"
"3010";3795;2;"accessory";"AFUA_2G15160";"AO090012000298";""
"3011";4038;1;"singleton";"";"";"1169624;1158977;50979;1064035;1107930;1067804;1090592;1123571;1090883;1123570;1216982;1152804;1107931;1166003;1123569;1216980;1136656;1107929;1176014;1185820;1063647;1216984;1090897;1130494;131891;1148835"
"3012";4041;3;"core";"AFUA_3G04160";"AO090124000078";"1162324;1131824;1101253;1116861;1101251;1061829;1181963;1082872;1171025;1156619;1204299;1116859;46882;1083960;1149726;1067700;1204303;1116860;1101252;1058997;1083157;1142286;1204307"
"3013";3276;3;"core";"AFUA_8G05460";"AO090005000602;AO090005000601";"1063184;1186459;1166602;1153399;1062308;1219204;1124875;1092431;1124876;1176839;1159416;1092251;1092320;1124877;1068858;1109246;1137463;1109244;1109245;55089;1028385;1146099"
"3014";1086;2;"accessory";"AFUA_5G14610";"";"1084407;1172305;1075117;1133050;1084594;1069089;215072;1133049;1078897;1084376;1118540;43917;1102925;1163265;1207501;1182963;1075906;1172304;1118541;1102926;1207505;1084860;39181;1095764;1065548;1127973;1154698;1224695;1160406;1112325;1178828;1187991;1139403;1224692;1168059;1224701;1127975;1095856;1095762;1127974;1112326;1063606;1224698;1062700;1112327;1143139;1150484"
"3015";3720;3;"core";"AFUA_3G06870";"AO090020000310";"1168189;1188129;1139636;1112635;1112634;1112633;1095232;1160518;1077233;1096191;1070972;1128280;1128279;1128281;179341;1096448;1154889;1225250;1179063;1071351"
"3016";4044;3;"core";"AFUA_2G15520";"AO090012000279";"1220295;1159645;1062509;1186763;1166898;1109941;1068218;1109939;1109940;1153701;213409;1125576;1093668;1125578;1125577;1177238;1092891;1093518;1137851;1061317"
"3017";1977;1;"singleton";"";"";"1076692;1087709;179968;1134686;1151552;1134687;125850;1173965"
"3018";3916;1;"singleton";"";"";"1226254;1226258;1139992;1168474;1128793;1179432;1097023;1113147;1188429;1071408;1160718;1128794;1155139;1097097;1113148;1075375;1226246;1070212;54126;1113146;1128792;1097048;1226250"
"3019";4046;3;"core";"AFUA_4G04260;AFUA_4G04270";"AO090206000067;AO090206000066";"1156176;1115568;1149161;1081081;1061360;1115572;1081520;1201968;1063922;1099967;1081139;1181298;1061551;1161709;1115571;1099966;1170158;1201966;1131001;1181297;1067029;1081681;1115569;1002183;1115570;1170157;1099965;1099963;1161708;1081602;1131000;1141737;1078453;1141738;1099964"
"3020";4042;1;"singleton";"";"";"1086628;1151338;1063921;1086415;1173636;1065142;1134370;40638"
"3021";4045;2;"accessory";"";"AO090012000113";"1152750;1136595;1165964;1123477;1090986;1107837;1216836;134242;1062067;1216832;1175953;1185780;1158944"
"3022";4048;1;"singleton";"";"";"1149823;1204643;1131932;1162389;1204647;36428;1182037;1171143;1156678"
"3023";3980;3;"core";"AFUA_2G16150";"AO090012000183";"1151427;1134513;1164280;1173787;1211142;1184023;1157880;1087114;1067114;1120448;1104814;1086770;1086850;1120446;1120447;1076883;1070561;1104816;1104815"
"3024";3929;3;"core";"AFUA_4G11890";"AO090003001025";"1132379;1117546;1117545;51890;1117547;1162742;1150052;1142688;1156876;1156877;1182419;1007672;1101936;1101938;1101937;1171606;1084064;1084175;1082693;1070470;1068935;1072336;1150062"
"3025";4053;1;"singleton";"";"";"1061952;1154759;1178910;1059467;1095733;39264;1139483;1059393;1096825;1095206"
"3026";4056;1;"singleton";"";"";"1170974;1162292;1204141;1131769;1062510;1082241;1204142;1116785;1101177;1149687;1204143;1101176;1156592;1065679;1082084;1116784;1181932"
"3027";3863;3;"core";"AFUA_6G02570";"AO090120000142";"1133813;1183465;49546;1209302;1163756;1173064;1143512"
"3028";2034;3;"core";"AFUA_1G15800";"AO090005001120";"1132914;1163181;1182876;1172163;1150387;1083631;1102750;1157154;51703;1072953;1118362;1118361;1118360;1102748;1009872;1072267;1102749;1077280;1083963;1083151"
"3029";4063;1;"singleton";"";"";"1104535;1104536;1134257;1164099;1173521;1071107;1183828;1210497;40528;1087166;1087121;1120167;1075419;1120168;1157766;1143834;1151274"
"3030";4064;3;"core";"AFUA_4G13580";"AO090009000211";"1132554;1206267;1102143;1117752;1083065;1156949;1059841;1206265;35797;1150135;1066191;1066198;1083504;1117751;1117750;1102142;1171787;1206261;1182573;1082731;1102141;1089180;1062051;1089901;1175686;1060963;1152542;1065191;1088074;174967;1136335;1142831;1162887"
"3031";3040;1;"singleton";"";"";"1150301;1157076"
