cluster_number,cluster_type,fumigatus,niger,oryzae
5638,unique,AFUA_8G04990,,
5639,unique,,,AO090124000039
5640,unique,,fgenesh1_pg.chr_202_#_1181,
5641,unique,,e_gw1.701.1503.1,
5642,unique,AFUA_6G09710,,
5643,core,AFUA_5G08510,Aspni5.e_gw1.5.963.1,AO090120000201
5644,exclusively_absent,AFUA_6G14590,,AO090113000147
5645,unique,,,AO090005000955
5646,unique,,MIX22124_1_7,
5647,unique,,fgenesh1_pm.chr_801_#_68,
5648,unique,,gm1.8979_g,
5649,unique,,fgenesh1_pg.chr_302_#_263,
5650,core,AFUA_6G09190,MIX24437_2_15,AO090001000597
5651,core,AFUA_2G13380,estExt_Genewise1Plus.C_chr_402_t10415,AO090026000315
5652,exclusively_absent,AFUA_8G02130,fgenesh1_pg.chr_101_#_65,
5653,unique,,Aspni5.e_gw1.66.5.1,
5654,unique,,,AO090011000077
5655,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_1001006,AO090102000317
5656,exclusively_absent,AFUA_4G14640,,AO090011000212
5657,exclusively_absent,,estExt_fgenesh1_pm.C_chr_1010306,AO090010000161
5658,core,AFUA_3G07080,estExt_Genewise1.C_chr_402_t50046,AO090020000279
5659,unique,,fgenesh1_pg.chr_701_#_335,
5660,unique,,,AO090011000814
5661,core,AFUA_4G00370,gw1.402.1319.1,AO090005000316
5662,core,AFUA_8G04170,MIX19185_15_81,AO090103000032
5663,core,AFUA_7G00290,MIX350_2_11,AO090005000553
5664,unique,AFUA_8G05190,,
5665,unique,,,AO090003000876
5666,unique,,,AO090020000141
5667,unique,,fgenesh1_pm.chr_202_#_117,
5668,exclusively_absent,AFUA_2G01110,,AO090701000379
5669,exclusively_absent,AFUA_5G06980,,AO090701000286
5670,core,AFUA_5G04050,estExt_Genemark1.C_chr_101_t10484,AO090102000608
5671,unique,,gm1.3671_g,
5672,unique,AFUA_4G07550,,
5673,unique,,,AO090001000641
5674,unique,,e_gw1.401.315.1,
5675,exclusively_absent,AFUA_4G12450,,AO090009000457
5676,core,AFUA_3G05370,estExt_fgenesh1_pm.C_chr_701_t20160,AO090020000008
5677,unique,,,AO090102000265
5678,exclusively_absent,AFUA_7G05090,,AO090701000907
5679,unique,,estExt_fgenesh1_pm.C_chr_802_t10244,
5680,unique,,MIX28095_3_60,
5681,unique,AFUA_2G04510,,
5682,unique,,gw1.304.146.1,
5683,unique,,estExt_fgenesh1_pm.C_chr_6010384,
5684,unique,,MIX21554_10_39,
5685,unique,,estExt_Genemark1.C_chr_401_t20168,
5686,unique,,fgenesh1_pg.chr_101_#_369,
5687,exclusively_absent,AFUA_6G00450,,AO090001000066
5688,unique,,,AO090308000004
5689,unique,,fgenesh1_pg.chr_701_#_513,
5690,unique,AFUA_8G06210,,
5691,unique,,MIX1836_1_6,
5692,core,AFUA_4G03780,fgenesh1_pg.chr_102_#_101,AO090011000349
5693,core,AFUA_4G07780,Aspni5.estExt_GeneWisePlus.C_130463,AO090023000793
5694,exclusively_absent,,estExt_Genewise1Plus.C_chr_402_t40379,AO090020000411
5695,unique,,e_gw1.101.328.1,
5696,unique,,estExt_Genewise1Plus.C_chr_5030011,
5697,exclusively_absent,,Aspni5.e_gw1.13.498.1,AO090010000573
5698,unique,,fgenesh1_pg.chr_402_#_1119,
5699,unique,,fgenesh1_pm.chr_502_#_119,
5700,unique,,fgenesh1_pg.chr_201_#_51,
5701,core,AFUA_2G11790,estExt_fgenesh1_pg.C_chr_402_t10306,AO090026000463
5702,core,AFUA_5G12390,estExt_Genewise1Plus.C_chr_102_t30107,AO090120000359
5703,core,AFUA_6G10800,estExt_fgenesh1_pm.C_chr_701_t10038,AO090023000186
5704,exclusively_absent,,estExt_fgenesh1_pg.C_chr_304_t10033,AO090701000037
5705,unique,,MIX16215_31_19,
5706,exclusively_absent,,e_gw1.701.1449.1,AO090005000359
5707,unique,,,AO090038000061
5708,core,AFUA_5G04160,CE1664_66,AO090102000619
5709,unique,,fgenesh1_pg.chr_603_#_50,
5710,unique,,,AO090026000109
5711,unique,,,AO090026000104
5712,unique,,fgenesh1_pg.chr_701_#_13,
5713,core,AFUA_5G10650,estExt_fgenesh1_pm.C_chr_1020248,AO090010000473
5714,core,AFUA_2G03840,estExt_fgenesh1_pg.C_chr_401_t20092,AO090005001510
5715,unique,,e_gw1.202.1449.1,
5716,exclusively_absent,AFUA_8G02010,Aspni5.e_gw1.5.232.1,
5717,exclusively_absent,,MIX3524_3_14,AO090010000678
5718,core,AFUA_1G10890,fgenesh1_pg.chr_802_#_232,AO090038000321
5719,exclusively_absent,,fgenesh1_pg.chr_101_#_52,AO090001000041
5720,core,AFUA_2G01940,gm1.4778_g,AO090011000460
5721,exclusively_absent,,fgenesh1_pg.chr_202_#_1059,AO090138000051
5722,unique,AFUA_7G08600,,
5723,core,AFUA_8G04210,e_gw1.503.192.1,AO090103000036
5724,core,AFUA_4G03510,estExt_fgenesh1_pm.C_chr_1020164,AO090011000238
5725,unique,,e_gw1.604.12.1,
5726,core,AFUA_5G13160,fgenesh1_pg.chr_102_#_463,AO090120000457
5727,exclusively_absent,AFUA_2G02610,,AO090026000605
5728,unique,,gm1.9801_g,
5729,core,AFUA_4G13510,estExt_Genewise1.C_chr_202_t30083,AO090009000219
5730,unique,AFUA_5G02620,,
5731,unique,,,AO090113000074
5732,core,AFUA_2G17070,estExt_fgenesh1_pg.C_chr_6030086,AO090102000114
5733,unique,,MIX5336_8_32,
5734,unique,,gw1.601.1017.1,
5735,unique,,,AO090012000949
5736,unique,,,AO090026000755
5737,unique,AFUA_6G11920,,
5738,unique,AFUA_3G03570,,
5739,exclusively_absent,,gw1.402.362.1,AO090020000221
5740,exclusively_absent,,gm1.10634_g,AO090038000097
5741,core,AFUA_6G07910,MIX23513_81_69,AO090003000142
5742,core,AFUA_6G00440,gm1.5787_g,AO090003000777
5743,core,AFUA_2G12610,e_gw1.402.1466.1,AO090026000356
5744,exclusively_absent,AFUA_4G00150,,AO090012000001
5745,core,AFUA_7G04640,Aspni5.estExt_fgenesh1_pm.C_150063,AO090005000156
5746,unique,,estExt_fgenesh1_pg.C_chr_802_t10339,
5747,unique,,estExt_Genewise1.C_chr_302_t20174,
5748,unique,,,AO090138000007
5749,exclusively_absent,,e_gw1.701.705.1,AO090138000194
5750,unique,,gw1.102.212.1,
5751,core,AFUA_2G10260,fgenesh1_pg.chr_502_#_455,AO090011000610
5752,exclusively_absent,,e_gw1.801.625.1,AO090166000073
5753,unique,,,AO090038000084
5754,unique,,e_gw1.802.201.1,
5755,core,AFUA_6G02120,e_gw1.302.659.1,AO090120000096
5756,core,AFUA_6G02200,Aspni5.estExt_fgenesh1_pg.C_90083,AO090120000105
5757,unique,,,AO090103000275
5758,core,AFUA_7G06050,fgenesh1_pg.chr_401_#_111,AO090005000469
5759,unique,,,AO090003000755
5760,core,AFUA_2G16720,fgenesh1_pm.chr_603_#_17,AO090102000152
5761,unique,,,AO090023000192
5762,unique,AFUA_5G06900,,
5763,unique,,,AO090010000001
5764,exclusively_absent,AFUA_3G07990,CE26390_60,
5765,unique,,gw1.601.371.1,
5766,unique,,,AO090120000448
5767,unique,,fgenesh1_pm.chr_701_#_226,
5768,exclusively_absent,,fgenesh1_pm.chr_603_#_33,AO090102000062
5769,core,AFUA_6G11610,e_gw1.202.1482.1,AO090001000348
5770,core,AFUA_4G03930,Aspni5.e_gw1.8.1139.1,AO090011000336
5771,unique,,fgenesh1_pg.chr_502_#_195,
5772,unique,,fgenesh1_pg.chr_502_#_189,
5773,core,AFUA_3G09710,estExt_fgenesh1_pg.C_chr_502_t10337,AO090005001278
5774,exclusively_absent,AFUA_3G09640,estExt_fgenesh1_pg.C_chr_502_t10333,
5775,exclusively_absent,,gm1.3401_g,AO090011000192
5776,core,AFUA_2G12890,gw1.402.1570.1,AO090026000345
5777,core,AFUA_5G10910,fgenesh1_pm.chr_102_#_229,AO090010000440
5778,unique,,e_gw1.601.1026.1,
5779,unique,,,AO090023000080
5780,unique,,MIX19615_9_80,
5781,unique,,fgenesh1_pg.chr_701_#_330,
5782,core,AFUA_8G04590,e_gw1.503.209.1,AO090023000320
5783,unique,AFUA_8G00510,,
5784,unique,AFUA_5G06570,,
5785,unique,,,AO090701000183
5786,unique,,,AO090038000012
5787,unique,AFUA_5G07490,,
5788,unique,,,AO090012000045
5789,core,AFUA_6G13510,gm1.10892_g,AO090103000339
5790,unique,,,AO090010000599
5791,unique,,,AO090023000947
5792,core,AFUA_3G05900,estExt_Genemark1.C_chr_701_t20368,AO090020000060
5793,core,AFUA_1G06720,estExt_Genewise1.C_chr_601_t20103,AO090001000473
5794,unique,,gm1.11162_g,
5795,exclusively_absent,AFUA_4G08870,,AO090023000672
5796,unique,,fgenesh1_pg.chr_302_#_242,
5797,unique,,fgenesh1_pg.chr_801_#_129,
5798,unique,,fgenesh1_pg.chr_701_#_696,
5799,unique,,estExt_fgenesh1_pg.C_chr_202_t20123,
5800,unique,,estExt_fgenesh1_pm.C_chr_6020178,
5801,core,AFUA_1G03090,gm1.1911_g,AO090005000810
5802,unique,,,AO090011000030
5803,unique,,fgenesh1_pg.chr_202_#_684,
5804,core,AFUA_3G10480,MIX18352_23_82,AO090003000594
5805,core,AFUA_1G15410,gw1.202.1854.1,AO090005001166
5806,unique,,,AO090003000249
5807,exclusively_absent,AFUA_4G13820,,AO090023000585
5808,unique,,fgenesh1_pm.chr_102_#_345,
5809,unique,AFUA_1G11270,,
5810,core,AFUA_5G00980,CE5142_63,AO090020000544
5811,unique,,e_gw1.604.25.1,
5812,unique,,MIX15395_3_26,
5813,core,AFUA_5G12530,estExt_fgenesh1_pg.C_chr_102_t20014,AO090120000378
5814,unique,,fgenesh1_pm.chr_503_#_122,
5815,unique,,gw1.302.531.1,
5816,unique,AFUA_7G05100,,
5817,unique,,,AO090038000122
5818,core,AFUA_4G12760,estExt_Genemark1.C_chr_202_t20183,AO090009000304
5819,exclusively_absent,AFUA_6G06960,,AO090003000077
5820,core,AFUA_5G03880,Aspni5.estExt_fgenesh1_pm.C_110030,AO090102000593
5821,unique,,MIX7283_2_9,
5822,core,AFUA_5G09940,fgenesh1_pg.chr_802_#_605,AO090103000452
5823,core,AFUA_5G09420,MIX9990_45_97,AO090020000561
5824,unique,,,AO090011000434
5825,unique,,gm1.6145_g,
5826,unique,,,AO090102000213
5827,unique,,,AO090012000612
5828,unique,,,AO090009000602
5829,unique,,,AO090206000121
5830,exclusively_absent,AFUA_4G03220,,AO090011000116
5831,exclusively_absent,AFUA_3G11620,Aspni5.fgenesh1_pm.C_scaffold_2000144,
5832,unique,,gm1.8763_g,
5833,exclusively_absent,AFUA_1G16040,,AO090010000296
5834,unique,,,AO090011000384
5835,core,AFUA_2G12110,MIX14057_27_83,AO090026000435
5836,core,AFUA_2G01010,gw1.501.253.1,AO090701000359
5837,unique,AFUA_4G09980,,
5838,core,AFUA_2G03510,gm1.2737_g,AO090010000534
5839,unique,AFUA_1G11290,,
5840,core,AFUA_4G06840,estExt_fgenesh1_pg.C_chr_602_t10105,AO090023000898
5841,unique,AFUA_6G12040,,
5842,exclusively_absent,,e_gw1.202.1230.1,AO090120000357
5843,unique,AFUA_3G01670,,
5844,exclusively_absent,,gw1.102.952.1,AO090026000115
5845,exclusively_absent,,estExt_Genewise1.C_chr_601_t10486,AO090005000731
5846,unique,,gm1.9783_g,
5847,unique,,,AO090003001429
5848,core,AFUA_5G09210,fgenesh1_pm.chr_401_#_144,AO090020000517
5849,unique,,gm1.7636_g,
5850,exclusively_absent,AFUA_3G08120,,AO090005001466
5851,unique,,e_gw1.802.342.1,
5852,core,AFUA_5G14050,MIX2631_17_69,AO090113000120
5853,unique,,fgenesh1_pg.chr_501_#_59,
5854,unique,,MIX3040_4_23,
5855,unique,,fgenesh1_pm.chr_601_#_45,
5856,core,AFUA_2G08130,estExt_fgenesh1_pg.C_chr_302_t10059,AO090011000886
5857,unique,,e_gw1.402.552.1,
5858,exclusively_absent,AFUA_5G09140,Aspni5.fgenesh1_pg.C_scaffold_5000455,
5859,unique,,Aspni5.fgenesh1_pg.C_scaffold_5000297,
5860,unique,AFUA_1G11350,,
5861,exclusively_absent,,estExt_fgenesh1_pg.C_chr_701_t20146,AO090103000283
5862,core,AFUA_4G07020,fgenesh1_pm.chr_603_#_15,AO090023000884
5863,core,AFUA_6G02210,Aspni5.fgenesh1_pg.C_scaffold_9000084,AO090120000106
5864,unique,,,AO090023000515
5865,core,AFUA_5G08280,estExt_fgenesh1_pg.C_chr_601_t10311,AO090701000750
5866,core,AFUA_8G04530,fgenesh1_pg.chr_503_#_125,AO090023000334
5867,unique,,,AO090011000101
5868,unique,AFUA_8G01140,,
5869,exclusively_absent,AFUA_8G00962,Aspni5.fgenesh1_pg.C_scaffold_3000278,
5870,unique,AFUA_4G01360,,
5871,exclusively_absent,AFUA_6G14560,,AO090103000267
5872,unique,,e_gw1.602.664.1,
5873,unique,AFUA_7G06790,,
5874,exclusively_absent,,e_gw1.202.1318.1,AO090001000112
5875,unique,,,AO090009000110
5876,unique,,,AO090120000008
5877,unique,,gm1.5604_g,
5878,core,AFUA_3G00310,MIX7458_33_66,AO090124000063
5879,unique,,fgenesh1_pg.chr_202_#_69,
5880,core,AFUA_4G01230,estExt_Genewise1.C_chr_301_t10201,AO090124000058
5881,unique,,Aspni5.fgenesh1_pg.C_scaffold_14000181,
5882,unique,,,AO090166000049
5883,unique,,,AO090010000548
5884,unique,,,AO090009000532
5885,unique,,fgenesh1_pm.chr_801_#_67,
5886,unique,,estExt_fgenesh1_pg.C_chr_502_t20045,
5887,unique,,estExt_fgenesh1_pg.C_chr_801_t10353,
5888,core,AFUA_8G02660,fgenesh1_pm.chr_202_#_112,AO090701000325
5889,unique,AFUA_6G13710,,
5890,unique,AFUA_8G00210,,
5891,exclusively_absent,AFUA_6G14050,,AO090003000890
5892,core,AFUA_2G05910,estExt_Genewise1.C_chr_402_t50144,AO090001000710
5893,exclusively_absent,AFUA_6G00470,,AO090003001378
5894,unique,,,AO090005000002
5895,unique,AFUA_3G11490,,
5896,unique,AFUA_2G15340,,
5897,core,AFUA_2G14570,Aspni5.estExt_fgenesh1_pg.C_60303,AO090005000072
5898,exclusively_absent,,gm1.10591_g,AO090038000160
5899,unique,,fgenesh1_pg.chr_801_#_67,
5900,core,AFUA_2G11370,gm1.5423_g,AO090026000513
5901,core,AFUA_4G08170,estExt_fgenesh1_pg.C_chr_602_t10216,AO090023000754
5902,core,AFUA_4G04110,estExt_Genewise1.C_chr_102_t10155,AO090206000082
5903,exclusively_absent,AFUA_7G04760,,AO090005000169
5904,unique,,fgenesh1_pg.chr_701_#_684,
5905,unique,,,AO090010000589
5906,unique,,estExt_Genewise1.C_chr_402_t30445,
5907,unique,,,AO090103000447
5908,unique,,,AO090012000374
5909,unique,,fgenesh1_pg.chr_802_#_99,
5910,exclusively_absent,,fgenesh1_pg.chr_601_#_427,AO090003001399
5911,unique,,gw1.304.354.1,
5912,exclusively_absent,AFUA_5G14500,,AO090026000219
5913,unique,,gm1.8746_g,
5914,exclusively_absent,AFUA_5G00435,gm1.7887_g,
5915,unique,AFUA_5G14540,,
5916,unique,,,AO090701000880
5917,unique,AFUA_4G01340,,
5918,exclusively_absent,AFUA_2G13760,CE21259_77,
5919,unique,,,AO090023000163
5920,unique,,,AO090009000572
5921,core,AFUA_6G00310,estExt_fgenesh1_pg.C_chr_402_t10371,AO090020000351
5922,unique,,estExt_fgenesh1_pg.C_chr_202_t10122,
5923,unique,,MIX3453_1_13,
5924,unique,,,AO090001000450
5925,unique,AFUA_1G01230,,
5926,unique,,,AO090005000685
5927,unique,AFUA_3G15080,,
5928,unique,,fgenesh1_pm.chr_503_#_60,
5929,unique,AFUA_1G15750,,
5930,exclusively_absent,AFUA_1G05710,,AO090009000363
5931,unique,,estExt_Genemark1.C_chr_502_t10093,
5932,exclusively_absent,AFUA_5G01360,,AO090005000071
5933,unique,,,AO090020000354
5934,unique,,,AO090113000038
5935,unique,,e_gw1.301.532.1,
5936,unique,,,AO090009000373
5937,core,AFUA_7G05070,estExt_fgenesh1_pm.C_chr_802_t10428,AO090003000831
5938,core,AFUA_5G05770,estExt_Genewise1.C_chr_501_t20090,AO090009000686
5939,exclusively_absent,,estExt_fgenesh1_pg.C_chr_502_t20062,AO090005000220
5940,unique,,,AO090103000302
5941,core,AFUA_1G12760,CE41812_140,AO090012000638
5942,core,AFUA_4G12470,fgenesh1_pg.chr_202_#_626,AO090009000459
5943,unique,AFUA_2G17880,,
5944,unique,,,AO090701000195
5945,unique,,fgenesh1_pg.chr_502_#_198,
5946,core,AFUA_2G02450,estExt_Genemark1.C_chr_401_t10463,AO090026000558
5947,unique,,,AO090011000908
5948,unique,,estExt_fgenesh1_pg.C_chr_401_t10292,
5949,core,AFUA_6G06810,Aspni5.gw1.10.173.1,AO090003000059
5950,unique,,,AO090023000425
5951,unique,,,AO090010000639
5952,unique,AFUA_2G00450,,
5953,unique,,,AO090012000332
5954,unique,,,AO090003001301
5955,exclusively_absent,AFUA_2G11400,MIX13893_2_12,
5956,unique,,fgenesh1_pg.chr_101_#_145,
5957,exclusively_absent,AFUA_6G00196,estExt_fgenesh1_pm.C_chr_4010233,
5958,unique,,e_gw1.202.1305.1,
5959,exclusively_absent,,estExt_fgenesh1_pg.C_chr_302_t10333,AO090138000112
5960,core,AFUA_2G07920,estExt_fgenesh1_pm.C_chr_3020031,AO090011000909
5961,unique,,estExt_fgenesh1_pg.C_chr_3030055,
5962,unique,,,AO090005000723
5963,unique,,Aspni5.e_gw1.7.133.1,
5964,unique,,gw1.602.495.1,
5965,unique,,CE5809_33,
5966,unique,AFUA_5G09030,,
5967,unique,,fgenesh1_pg.chr_502_#_290,
5968,exclusively_absent,,e_gw1.401.732.1,AO090023000881
5969,unique,,fgenesh1_pg.chr_101_#_102,
5970,exclusively_absent,,fgenesh1_pg.chr_402_#_511,AO090003000640
5971,unique,,fgenesh1_pg.chr_101_#_3,
5972,core,AFUA_7G00440,MIX19415_9_50,AO090701000533
5973,unique,,,AO090023000615
5974,unique,,,AO090003000130
5975,exclusively_absent,,Aspni5.gw1.10.879.1,AO090026000131
5976,unique,,fgenesh1_pm.chr_304_#_119,
5977,unique,,,AO090120000239
5978,core,AFUA_3G11760,fgenesh1_pg.chr_402_#_578,AO090003000737
5979,unique,,Aspni5.fgenesh1_pg.C_scaffold_3000984,
5980,unique,,,AO090003001014
5981,core,AFUA_4G02650,e_gw1.102.820.1,AO090001000154
5982,unique,AFUA_2G11590,,
5983,unique,AFUA_4G09470,,
5984,core,AFUA_4G03980,estExt_Genewise1Plus.C_chr_102_t10186,AO090011000319
5985,exclusively_absent,AFUA_3G14170,,AO090005000962
5986,core,AFUA_4G06850,estExt_fgenesh1_pm.C_chr_6020053,AO090023000899
5987,unique,,,AO090103000219
5988,exclusively_absent,,gw1.502.792.1,AO090166000080
5989,unique,,gw1.701.231.1,
5990,core,AFUA_4G03800,MIX1698_55_98,AO090011000346
5991,core,AFUA_1G16230,gm1.2357_g,AO090005001086
5992,unique,,,AO090026000027
5993,exclusively_absent,,CE32546_353,AO090023000637
5994,unique,,gw1.202.891.1,
5995,core,AFUA_4G13500,MIX5814_37_55,AO090009000222
5996,unique,,gw1.503.56.1,
5997,unique,AFUA_3G03500,,
5998,unique,,gm1.11170_g,
5999,unique,,,AO090011000433
6000,unique,,e_gw1.301.474.1,
6001,core,AFUA_3G03970,e_gw1.802.396.1,AO090026000410
6002,unique,,,AO090011000631
6003,exclusively_absent,AFUA_3G11450,Aspni5.e_gw1.2.482.1,
6004,unique,AFUA_5G11300,,
6005,exclusively_absent,AFUA_1G15680,,AO090005001141
6006,exclusively_absent,,fgenesh1_pg.chr_102_#_304,AO090701000647
6007,exclusively_absent,AFUA_5G00530,Aspni5.estExt_fgenesh1_pg.C_40245,
6008,core,AFUA_1G17690,Aspni5.fgenesh1_pg.C_scaffold_24000038,AO090005000149
6009,unique,,,AO090701000436
6010,unique,AFUA_6G07260,,
6011,unique,AFUA_4G00460,,
6012,core,AFUA_7G06110,e_gw1.402.1539.1,AO090005000476
6013,exclusively_absent,,fgenesh1_pg.chr_302_#_323,AO090166000079
6014,unique,,fgenesh1_pm.chr_402_#_473,
6015,unique,,,AO090001000035
6016,unique,,fgenesh1_pg.chr_302_#_229,
6017,core,AFUA_2G11220,fgenesh1_pg.chr_402_#_258,AO090026000527
6018,core,AFUA_6G12580,Aspni5.estExt_GeneWisePlus.C_30461,AO090003000371
6019,core,AFUA_6G01930,MIX9059_2_20,AO090166000066
6020,exclusively_absent,AFUA_4G01000,,AO090010000736
6021,exclusively_absent,AFUA_3G02990,estExt_fgenesh1_pg.C_chr_101_t10237,
6022,unique,,,AO090009000624
6023,core,AFUA_1G04390,gw1.202.483.1,AO090003000910
6024,core,AFUA_1G02150,estExt_Genewise1Plus.C_chr_202_t20248,AO090005000883
6025,unique,AFUA_3G01640,,
6026,unique,,,AO090010000345
6027,core,AFUA_7G05370,MIX11535_4_21,AO090005000377
6028,core,AFUA_3G10930,estExt_Genemark1.C_chr_402_t20030,AO090003000635
6029,core,AFUA_5G02740,estExt_fgenesh1_pg.C_chr_402_t20262,AO090102000391
6030,exclusively_absent,AFUA_4G12540,Aspni5.gw1.1.1199.1,
6031,core,AFUA_4G01490,gm1.9757_g,AO090005000288
6032,core,AFUA_6G00412,gm1.7479_g,AO090701000621
6033,unique,,,AO090009000046
6034,unique,,,AO090012000056
6035,unique,AFUA_8G00220,,
6036,exclusively_absent,AFUA_2G01250,Aspni5.estExt_fgenesh1_pg.C_30678,
6037,exclusively_absent,AFUA_8G01450,estExt_fgenesh1_pm.C_chr_402_t10435,
6038,core,AFUA_1G01260,fgenesh1_pg.chr_202_#_138,AO090138000088
6039,core,AFUA_3G10890,fgenesh1_pg.chr_402_#_512,AO090003000634
6040,exclusively_absent,AFUA_2G15320,,AO090012000319
6041,unique,,,AO090010000135
6042,unique,,,AO090113000131
6043,unique,AFUA_8G04620,,
6044,unique,,,AO090023000189
6045,core,AFUA_2G16360,fgenesh1_pm.chr_304_#_295,AO090102000227
6046,unique,,,AO090166000026
6047,unique,,,AO090102000318
6048,unique,,,AO090012000257
6049,unique,,,AO090102000027
6050,unique,,e_gw1.102.414.1,
6051,unique,AFUA_4G13910,,
6052,core,AFUA_5G05590,estExt_fgenesh1_pm.C_chr_5010215,AO090009000702
6053,unique,,,AO090023000352
6054,unique,,,AO090023000075
6055,unique,,fgenesh1_pm.chr_302_#_98,
6056,exclusively_absent,,e_gw1.301.801.1,AO090038000603
6057,core,AFUA_5G14020,estExt_Genewise1.C_chr_102_t20397,AO090113000116
6058,unique,AFUA_6G03430,,
6059,unique,AFUA_8G06410,,
6060,unique,,fgenesh1_pm.chr_303_#_18,
6061,unique,,,AO090011000099
6062,core,AFUA_4G09180,fgenesh1_pg.chr_202_#_174,AO090023000623
6063,core,AFUA_1G14320,estExt_Genewise1.C_chr_202_t40043,AO090011000379
6064,unique,,,AO090012000106
6065,unique,AFUA_6G11250,,
6066,unique,,,AO090701000539
6067,unique,,,AO090026000033
6068,core,AFUA_1G08800,Aspni5.estExt_fgenesh1_pm.C_30542,AO090005001647
6069,unique,,,AO090010000308
6070,core,AFUA_4G08340,gm1.8251_g,AO090023000725
6071,core,AFUA_6G02130,gm1.3561_g,AO090120000098
6072,unique,AFUA_5G00520,,
6073,exclusively_absent,AFUA_2G01240,,AO090701000400
6074,unique,,,AO090701000743
6075,unique,,gw1.201.327.1,
6076,unique,,,AO090102000013
6077,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_9000264,AO090102000198
6078,unique,,,AO090011000175
6079,exclusively_absent,AFUA_3G14900,estExt_fgenesh1_pg.C_chr_802_t20411,
6080,unique,,estExt_Genewise1Plus.C_chr_601_t20181,
6081,unique,,gw1.701.868.1,
6082,exclusively_absent,,fgenesh1_pg.chr_302_#_253,AO090011000401
6083,exclusively_absent,,gw1.301.172.1,AO090001000504
6084,core,AFUA_1G11440,estExt_fgenesh1_pg.C_chr_802_t10255,AO090038000282
6085,exclusively_absent,AFUA_2G14470,estExt_fgenesh1_pg.C_chr_304_t10328,
6086,core,AFUA_2G11450,estExt_Genemark1.C_chr_402_t10289,AO090026000503
6087,core,AFUA_6G04450,gw1.602.696.1,AO090701000099
6088,core,AFUA_5G00460,e_gw1.601.710.1,AO090003001527
6089,exclusively_absent,,fgenesh1_pg.chr_202_#_689,AO090166000099
6090,unique,,,AO090005000743
6091,unique,,estExt_fgenesh1_pg.C_chr_402_t20466,
6092,unique,,,AO090010000015
6093,core,AFUA_6G07620,e_gw1.701.1338.1,AO090003000189
6094,core,AFUA_3G09020,estExt_fgenesh1_pm.C_chr_5020245,AO090005001360
6095,unique,,,AO090023000991
6096,core,AFUA_2G12300,estExt_fgenesh1_pg.C_chr_402_t10344,AO090026000420
6097,core,AFUA_3G00750,estExt_fgenesh1_pm.C_chr_802_t10491,AO090011000076
6098,unique,,,AO090005000881
6099,core,AFUA_6G10880,Aspni5.estExt_fgenesh1_pm.C_40011,AO090012000150
6100,unique,,gm1.8626_g,
6101,exclusively_absent,,fgenesh1_pg.chr_304_#_325,AO090005000202
6102,exclusively_absent,AFUA_8G04480,,AO090003001277
6103,unique,,gm1.2781_g,
6104,unique,,,AO090020000238
6105,core,AFUA_2G10550,fgenesh1_pg.chr_402_#_459,AO090011000584
6106,unique,,,AO090701000438
6107,unique,AFUA_2G12830,,
6108,unique,AFUA_3G07540,,
6109,exclusively_absent,AFUA_1G14890,,AO090005001243
6110,unique,,estExt_fgenesh1_pg.C_chr_2010151,
6111,unique,,e_gw1.601.533.1,
6112,core,AFUA_1G09840,estExt_Genewise1.C_chr_802_t10135,AO090038000455
6113,exclusively_absent,,e_gw1.101.173.1,AO090011000045
6114,core,AFUA_2G14400,fgenesh1_pg.chr_402_#_82,AO090023000064
6115,unique,,e_gw1.302.431.1,
6116,unique,,e_gw1.202.993.1,
6117,unique,,MIX25467_2_11,
6118,unique,,MIX11099_23_78,
6119,unique,AFUA_3G15200,,
6120,exclusively_absent,AFUA_5G10150,gw1.501.190.1,
6121,core,AFUA_6G06870,fgenesh1_pg.chr_801_#_459,AO090003000068
6122,core,AFUA_4G13900,estExt_Genewise1Plus.C_chr_501_t10140,AO090701000347
6123,unique,,,AO090011000097
6124,unique,AFUA_1G16420,,
6125,unique,,,AO090102000307
6126,core,AFUA_1G14140,gm1.10733_g,AO090701000737
6127,core,AFUA_5G07880,estExt_fgenesh1_pm.C_chr_6010233,AO090701000699
6128,core,AFUA_6G05350,estExt_fgenesh1_pg.C_chr_304_t10001,AO090701000002
6129,core,AFUA_3G05400,gw1.701.1807.1,AO090020000010
6130,core,AFUA_2G09860,Aspni5.estExt_Genewise1.C_70185,AO090011000649
6131,unique,,estExt_Genemark1.C_chr_2010232,
6132,exclusively_absent,,gw1.402.572.1,AO090026000202
6133,unique,,estExt_Genemark1.C_chr_202_t20241,
6134,unique,,,AO090701000581
6135,unique,,,AO090009000308
6136,core,AFUA_3G09600,e_gw1.502.270.1,AO090005001291
6137,unique,,,AO090012000158
6138,unique,,fgenesh1_pg.chr_701_#_341,
6139,unique,,gm1.8680_g,
6140,unique,,e_gw1.502.181.1,
6141,core,AFUA_2G03520,MIX12510_5_43,AO090120000230
6142,unique,,estExt_fgenesh1_pg.C_chr_701_t20341,
6143,core,AFUA_5G10580,estExt_Genewise1.C_chr_102_t20231,AO090010000479
6144,unique,,,AO090026000076
6145,core,AFUA_1G11790,estExt_fgenesh1_pg.C_chr_802_t10292,AO090038000241
6146,unique,,e_gw1.502.558.1,
6147,unique,,fgenesh1_pm.chr_402_#_66,
